        Frequency / GHz                S2,1/abs,dB
               8.7119999                      -1.1728926
               8.7200003                      -1.1702188
               8.7279997                      -1.1675869
               8.7360001                      -1.1650029
               8.7440004                      -1.1624713
               8.7519999                      -1.1599981
               8.7600002                      -1.1575869
               8.7679996                      -1.1552406
                   8.776                      -1.1529605
               8.7840004                      -1.1507485
               8.7919998                      -1.1486029
               8.8000002                      -1.1465221
               8.8079996                      -1.1445035
                   8.816                      -1.1425436
               8.8240004                      -1.1406372
               8.8319998                      -1.1387769
               8.8400002                      -1.1369584
               8.8479996                      -1.1351715
               8.8559999                       -1.133411
               8.8640003                      -1.1316673
               8.8719997                       -1.129931
               8.8800001                      -1.1281954
               8.8879995                      -1.1264513
               8.8959999                       -1.124691
               8.9040003                      -1.1229083
               8.9119997                       -1.121095
               8.9200001                      -1.1192466
               8.9280005                      -1.1173587
               8.9359999                      -1.1154279
               8.9440002                      -1.1134518
               8.9519997                      -1.1114292
                    8.96                      -1.1093612
               8.9680004                      -1.1072499
               8.9759998                      -1.1050979
               8.9840002                      -1.1029096
               8.9919996                      -1.1006903
                       9                      -1.0984473
               9.0080004                      -1.0961875
               9.0159998                      -1.0939186
               9.0240002                      -1.0916503
               9.0319996                      -1.0893915
                    9.04                      -1.0871501
               9.0480003                      -1.0849375
               9.0559998                       -1.082761
               9.0640001                      -1.0806296
               9.0719995                      -1.0785506
               9.0799999                      -1.0765313
               9.0880003                      -1.0745779
               9.0959997                      -1.0726946
               9.1040001                      -1.0708839
               9.1120005                      -1.0691494
               9.1199999                      -1.0674908
               9.1280003                      -1.0659076
               9.1359997                      -1.0643965
               9.1440001                      -1.0629551
               9.1520004                      -1.0615762
               9.1599998                       -1.060255
               9.1680002                      -1.0589823
               9.1759996                      -1.0577511
                   9.184                      -1.0565507
               9.1920004                       -1.055371
               9.1999998                      -1.0542023
               9.2080002                      -1.0530335
               9.2159996                      -1.0518538
                   9.224                      -1.0506535
               9.2320004                      -1.0494222
               9.2399998                       -1.048152
               9.2480001                      -1.0468344
               9.2559996                      -1.0454629
               9.2639999                      -1.0440319
               9.2720003                      -1.0425377
               9.2799997                       -1.040978
               9.2880001                      -1.0393525
               9.2959995                      -1.0376621
               9.3039999                      -1.0359101
               9.3120003                      -1.0341003
               9.3199997                      -1.0322386
               9.3280001                      -1.0303335
               9.3360004                      -1.0283924
               9.3439999                      -1.0264259
               9.3520002                      -1.0244449
               9.3599997                      -1.0224609
                   9.368                      -1.0204851
               9.3760004                      -1.0185301
               9.3839998                      -1.0166077
               9.3920002                      -1.0147292
               9.3999996                      -1.0129047
                   9.408                      -1.0111454
               9.4160004                       -1.009459
               9.4239998                       -1.007853
               9.4320002                      -1.0063324
               9.4399996                      -1.0049027
                   9.448                      -1.0035655
               9.4560003                       -1.002321
               9.4639997                      -1.0011673
               9.4720001                      -1.0001012
               9.4799995                     -0.99911774
               9.4879999                     -0.99820834
               9.4960003                     -0.99736521
               9.5039997                     -0.99657781
               9.5120001                     -0.99583472
               9.5200005                     -0.99512257
               9.5279999                     -0.99442981
               9.5360003                     -0.99374003
               9.5439997                     -0.99304262
                   9.552                     -0.99232134
               9.5600004                     -0.99156433
               9.5679998                       -0.990758
               9.5760002                     -0.98989134
