        Frequency / GHz                S2,1 (eps_r=4)/abs,dB
                   6.184                      -2.8669948
               6.1919999                      -2.8796899
               6.1999998                      -2.8925569
               6.2080002                      -2.9056152
               6.2160001                      -2.9188802
                   6.224                      -2.9323677
               6.2319999                      -2.9460915
               6.2399998                      -2.9600628
               6.2480001                      -2.9742898
                   6.256                       -2.988779
               6.2639999                      -3.0035348
               6.2719998                      -3.0185559
               6.2800002                      -3.0338403
               6.2880001                      -3.0493842
                   6.296                      -3.0651796
               6.3039999                      -3.0812167
               6.3119998                      -3.0974849
               6.3200002                      -3.1139718
               6.3280001                      -3.1306638
                   6.336                      -3.1475477
               6.3439999                      -3.1646115
               6.3520002                      -3.1818416
               6.3600001                       -3.199227
                   6.368                      -3.2167596
               6.3759999                      -3.2344316
               6.3839998                      -3.2522373
               6.3920002                      -3.2701752
               6.4000001                      -3.2882465
                   6.408                       -3.306455
               6.4159999                      -3.3248055
               6.4239998                      -3.3433092
               6.4320002                      -3.3619768
               6.4400001                      -3.3808241
                   6.448                      -3.3998677
               6.4559999                       -3.419124
               6.4640002                       -3.438613
               6.4720001                      -3.4583552
                    6.48                      -3.4783683
               6.4879999                      -3.4986751
               6.4959998                      -3.5192913
               6.5040002                      -3.5402365
               6.5120001                      -3.5615258
                    6.52                      -3.5831727
               6.5279999                      -3.6051882
               6.5359998                      -3.6275815
               6.5440001                      -3.6503591
                   6.552                      -3.6735215
               6.5599999                      -3.6970723
               6.5679998                      -3.7210081
               6.5760002                      -3.7453248
               6.5840001                      -3.7700154
                   6.592                      -3.7950724
               6.5999999                      -3.8204859
               6.6079998                      -3.8462465
               6.6160002                      -3.8723433
               6.6240001                      -3.8987664
                   6.632                      -3.9255047
               6.6399999                      -3.9525526
               6.6479998                      -3.9799024
               6.6560001                       -4.007552
                   6.664                      -4.0354973
               6.6719999                      -4.0637395
               6.6799998                      -4.0922841
               6.6880002                      -4.1211377
               6.6960001                      -4.1503109
                   6.704                      -4.1798162
               6.7119999                       -4.209671
               6.7199998                      -4.2398947
               6.7280002                      -4.2705058
               6.7360001                        -4.30153
                   6.744                      -4.3329905
               6.7519999                      -4.3649137
               6.7600002                      -4.3973245
               6.7680001                      -4.4302489
                   6.776                      -4.4637124
               6.7839999                      -4.4977399
               6.7919998                      -4.5323531
               6.8000002                      -4.5675725
               6.8080001                      -4.6034169
                   6.816                      -4.6399023
               6.8239999                      -4.6770417
               6.8319998                      -4.7148453
               6.8400002                      -4.7533218
                   6.848                      -4.7924755
               6.8559999                      -4.8323108
               6.8639998                      -4.8728251
               6.8720002                       -4.914021
               6.8800001                      -4.9558941
                   6.888                      -4.9984428
               6.8959999                      -5.0416621
               6.9039998                      -5.0855507
               6.9120002                      -5.1301048
               6.9200001                      -5.1753255
                   6.928                      -5.2212144
               6.9359999                      -5.2677741
               6.9439998                      -5.3150125
               6.9520001                      -5.3629391
                    6.96                      -5.4115691
               6.9679999                      -5.4609179
               6.9759998                      -5.5110094
               6.9840002                      -5.5618662
               6.9920001                      -5.6135197
                       7                      -5.6660022
               7.0079999                      -5.7193485
               7.0159998                       -5.773598
               7.0240002                      -5.8287929
               7.0320001                      -5.8849755
                    7.04                      -5.9421887
               7.0479999                       -6.000482
               7.0560002                      -6.0598966
               7.0640001                      -6.1204807
                   7.072                      -6.1822772
               7.0799999                      -6.2453308
               7.0879998                      -6.3096828
               7.0960002                      -6.3753719
               7.1040001                      -6.4424371
                   7.112                      -6.5109128
               7.1199999                      -6.5808313
               7.1279998                      -6.6522247
               7.1360002                      -6.7251185
               7.1440001                      -6.7995428
                   7.152                      -6.8755206
               7.1599998                      -6.9530777
               7.1680002                      -7.0322391
               7.1760001                      -7.1130282
                   7.184                      -7.1954722
               7.1919999                      -7.2795988
               7.1999998                      -7.3654387
               7.2080002                      -7.4530266
               7.2160001                      -7.5424011
                   7.224                      -7.6336058
               7.2319999                      -7.7266908
               7.2399998                      -7.8217105
               7.2480001                      -7.9187293
                   7.256                      -8.0178157
               7.2639999                      -8.1190488
               7.2719998                      -8.2225127
               7.2800002                      -8.3283007
               7.2880001                       -8.436515
                   7.296                      -8.5472636
               7.3039999                      -8.6606625
               7.3119998                      -8.7768372
               7.3200002                      -8.8959184
               7.3280001                      -9.0180412
                   7.336                      -9.1433511
               7.3439999                      -9.2719984
               7.3520002                      -9.4041364
               7.3600001                      -9.5399269
                   7.368                      -9.6795367
               7.3759999                      -9.8231344
               7.3839998                      -9.9708979
               7.3920002                      -10.123008
               7.4000001                      -10.279651
                   7.408                      -10.441024
               7.4159999                      -10.607328
               7.4239998                      -10.778773
               7.4320002                      -10.955581
               7.4400001                      -11.137984
                   7.448                      -11.326229
               7.4559999                      -11.520581
               7.4640002                      -11.721322
               7.4720001                      -11.928758
                    7.48                       -12.14322
               7.4879999                      -12.365069
               7.4959998                      -12.594703
               7.5040002                      -12.832557
               7.5120001                       -13.07911
                    7.52                      -13.334896
               7.5279999                      -13.600505
               7.5359998                      -13.876592
               7.5440001                       -14.16389
                   7.552                      -14.463214
               7.5599999                      -14.775474
               7.5679998                      -15.101693
               7.5760002                      -15.443014
               7.5840001                      -15.800726
                   7.592                      -16.176273
               7.5999999                      -16.571287
               7.6079998                      -16.987611
               7.6160002                      -17.427327
               7.6240001                      -17.892794
                   7.632                      -18.386682
               7.6399999                      -18.912012
               7.6479998                      -19.472189
               7.6560001                      -20.071016
                   7.664                       -20.71268
               7.6719999                       -21.40164
               7.6799998                      -22.142357
               7.6880002                      -22.938676
               7.6960001                      -23.792535
                   7.704                      -24.701384
               7.7119999                      -25.653246
               7.7199998                      -26.617957
               7.7280002                      -27.533995
               7.7360001                      -28.296109
                   7.744                      -28.763493
               7.7519999                      -28.815022
               7.7600002                      -28.429449
               7.7680001                      -27.702166
                   7.776                      -26.776102
               7.7839999                      -25.771258
               7.7919998                       -24.76287
               7.8000002                      -23.789982
               7.8080001                      -22.869465
                   7.816                       -22.00633
               7.8239999                      -21.199777
               7.8319998                      -20.446419
               7.8400002                      -19.741923
                   7.848                      -19.081806
               7.8559999                      -18.461791
               7.8639998                      -17.877968
               7.8720002                       -17.32682
               7.8800001                       -16.80523
                   7.888                      -16.310446
               7.8959999                      -15.840038
               7.9039998                      -15.391868
               7.9120002                       -14.96405
               7.9200001                      -14.554919
                   7.928                      -14.163002
               7.9359999                      -13.786995
               7.9439998                      -13.425738
               7.9520001                      -13.078203
                    7.96                      -12.743469
               7.9679999                      -12.420719
               7.9759998                      -12.109218
               7.9840002                      -11.808306
               7.9920001                      -11.517393
                       8                      -11.235944
               8.0080004                      -10.963475
               8.0159998                      -10.699549
               8.0240002                      -10.443764
               8.0319996                      -10.195756
                    8.04                      -9.9551857
               8.0480003                      -9.7217445
               8.0559998                      -9.4951403
               8.0640001                      -9.2751057
               8.0719995                      -9.0613853
               8.0799999                      -8.8537396
               8.0880003                      -8.6519395
               8.0959997                        -8.45577
               8.1040001                      -8.2650215
               8.1120005                      -8.0794965
               8.1199999                      -7.8990005
               8.1280003                      -7.7233487
               8.1359997                      -7.5523605
               8.1440001                      -7.3858634
               8.1520004                      -7.2236885
               8.1599998                      -7.0656744
               8.1680002                      -6.9116645
               8.1759996                       -6.761509
                   8.184                      -6.6150635
               8.1920004                      -6.4721896
               8.1999998                      -6.3327578
               8.2080002                      -6.1966435
               8.2159996                      -6.0637295
                   8.224                      -5.9339071
               8.2320004                      -5.8070726
               8.2399998                      -5.6831317
               8.2480001                      -5.5619971
               8.2559996                       -5.443587
               8.2639999                      -5.3278287
               8.2720003                      -5.2146541
               8.2799997                      -5.1040033
               8.2880001                       -4.995821
               8.2959995                      -4.8900548
               8.3039999                      -4.7866613
               8.3120003                      -4.6855978
               8.3199997                      -4.5868266
               8.3280001                      -4.4903083
               8.3360004                      -4.3960128
               8.3439999                       -4.303904
               8.3520002                      -4.2139488
               8.3599997                      -4.1261151
                   8.368                      -4.0403691
               8.3760004                      -3.9566757
               8.3839998                      -3.8749986
               8.3920002                      -3.7952981
               8.3999996                      -3.7175344
                   8.408                      -3.6416652
               8.4160004                      -3.5676441
               8.4239998                      -3.4954258
               8.4320002                       -3.424959
               8.4399996                      -3.3561944
                   8.448                      -3.2890787
               8.4560003                      -3.2235587
               8.4639997                        -3.15958
               8.4720001                      -3.0970897
               8.4799995                      -3.0360335
               8.4879999                        -2.97636
               8.4960003                      -2.9180177
               8.5039997                      -2.8609578
               8.5120001                      -2.8051349
               8.5200005                       -2.750505
               8.5279999                      -2.6970295
               8.5360003                      -2.6446716
               8.5439997                      -2.5933996
                   8.552                      -2.5431848
               8.5600004                      -2.4940035
               8.5679998                      -2.4458352
               8.5760002                       -2.398664
               8.5839996                      -2.3524749
                   8.592                      -2.3072598
               8.6000004                      -2.2630107
               8.6079998                      -2.2197222
               8.6160002                       -2.177391
               8.6239996                      -2.1360128
                   8.632                      -2.0955881
               8.6400003                      -2.0561135
               8.6479998                      -2.0175853
               8.6560001                      -1.9799991
               8.6639996                      -1.9433497
               8.6719999                      -1.9076279
               8.6800003                      -1.8728245
               8.6879997                      -1.8389253
               8.6960001                      -1.8059128
               8.7040005                       -1.773768
               8.7119999                      -1.7424698
               8.7200003                       -1.711991
               8.7279997                      -1.6823042
               8.7360001                      -1.6533794
               8.7440004                      -1.6251848
               8.7519999                      -1.5976874
               8.7600002                      -1.5708515
               8.7679996                      -1.5446436
                   8.776                      -1.5190274
               8.7840004                      -1.4939717
               8.7919998                      -1.4694443
               8.8000002                       -1.445414
               8.8079996                      -1.4218544
                   8.816                      -1.3987405
               8.8240004                      -1.3760531
               8.8319998                      -1.3537738
               8.8400002                      -1.3318888
               8.8479996                      -1.3103908
               8.8559999                      -1.2892717
               8.8640003                      -1.2685313
               8.8719997                      -1.2481714
               8.8800001                       -1.228195
               8.8879995                      -1.2086116
               8.8959999                      -1.1894302
               8.9040003                      -1.1706602
               8.9119997                       -1.152315
               8.9200001                      -1.1344053
               8.9280005                      -1.1169443
               8.9359999                      -1.0999406
               8.9440002                      -1.0834041
               8.9519997                      -1.0673403
                    8.96                      -1.0517529
               8.9680004                      -1.0366429
               8.9759998                      -1.0220065
               8.9840002                      -1.0078368
               8.9919996                     -0.99412296
                       9                     -0.98085212
               9.0080004                     -0.96800576
               9.0159998                     -0.95556243
               9.0240002                     -0.94349842
               9.0319996                     -0.93178819
                    9.04                     -0.92040257
               9.0480003                      -0.9093146
               9.0559998                     -0.89849261
               9.0640001                     -0.88790754
               9.0719995                     -0.87753243
               9.0799999                     -0.86733973
               9.0880003                     -0.85730597
               9.0959997                     -0.84740892
               9.1040001                     -0.83763089
               9.1120005                     -0.82795918
               9.1199999                     -0.81838368
               9.1280003                      -0.8088997
               9.1359997                     -0.79950668
               9.1440001                     -0.79020763
               9.1520004                     -0.78101016
               9.1599998                     -0.77192721
               9.1680002                     -0.76297204
               9.1759996                     -0.75416444
                   9.184                     -0.74552243
               9.1920004                     -0.73706669
               9.1999998                     -0.72882061
               9.2080002                     -0.72080315
               9.2159996                     -0.71303658
                   9.224                     -0.70553753
               9.2320004                     -0.69832187
               9.2399998                     -0.69140279
               9.2480001                     -0.68478765
               9.2559996                      -0.6784809
               9.2639999                     -0.67248417
               9.2720003                     -0.66679106
               9.2799997                     -0.66139155
               9.2880001                     -0.65627286
               9.2959995                     -0.65141585
               9.3039999                     -0.64679843
               9.3120003                     -0.64239534
               9.3199997                      -0.6381781
               9.3280001                     -0.63411649
               9.3360004                     -0.63018064
               9.3439999                     -0.62633774
               9.3520002                     -0.62255852
               9.3599997                     -0.61881353
                   9.368                     -0.61507651
               9.3760004                      -0.6113254
               9.3839998                     -0.60754094
               9.3920002                     -0.60370731
               9.3999996                     -0.59981678
                   9.408                     -0.59586595
               9.4160004                     -0.59185446
               9.4239998                      -0.5877902
               9.4320002                      -0.5836858
               9.4399996                       -0.579557
                   9.448                     -0.57542583
               9.4560003                     -0.57131646
               9.4639997                      -0.5672565
               9.4720001                     -0.56327504
               9.4799995                     -0.55940227
               9.4879999                     -0.55566733
               9.4960003                     -0.55210002
               9.5039997                     -0.54872666
               9.5120001                     -0.54557007
               9.5200005                      -0.5426511
               9.5279999                     -0.53998217
               9.5360003                     -0.53757523
               9.5439997                      -0.5354324
                   9.552                     -0.53355205
               9.5600004                     -0.53192706
               9.5679998                      -0.5305411
               9.5760002                     -0.52937762
               9.5839996                     -0.52840896
                   9.592                     -0.52760766
